"inv","it","alpha.mn","gamma","beta.t","beta.s","distr"
14,12,11.25,12,5.20929321178434e-06,0.105843419799989,"betaDiscr0.4"
16,13,13.03125,14,2.01566751736133e-06,0.106928836529938,"betaDiscr0.4"
18,14,15.53125,16,1.80945629681148e-07,0.128467228790287,"betaDiscr0.4"
20,15,17.3125,18,1.75260390014409e-09,0.12956801174247,"betaDiscr0.4"
22,16,18.53125,20,3.99076819723566e-06,0.141275730806,"betaDiscr0.4"
25,17,19.625,22,8.3996880016302e-06,0.181397586679388,"betaDiscr0.4"
28,18,21.625,25,5.83714557018971e-06,0.200418842384981,"betaDiscr0.4"
31,19,23.1875,28,1.30014990851195e-05,0.232082233820322,"betaDiscr0.4"
34,20,24.15625,31,0.000546845823458506,0.230256592558835,"betaDiscr0.4"
38,21,27.9375,35,0.000145030331232094,0.242353993201239,"betaDiscr0.4"
42,22,30,39,0.000111934073455975,0.248352443526151,"betaDiscr0.4"
46,23,31.46875,43,4.28299285009935e-05,0.260306688334732,"betaDiscr0.4"
51,24,31.1875,44,2.27055554810428e-05,0.225880696288271,"betaDiscr0.4"
56,25,35.5625,47,0.000264491495536815,0.25845816074984,"betaDiscr0.4"
61,26,35.5,50,0.000192517166774894,0.277395947405378,"betaDiscr0.4"
67,27,38.15625,55,0.000994911200208187,0.325118087452828,"betaDiscr0.4"
73,28,38,58,0.000699267425591428,0.300809949556488,"betaDiscr0.4"
79,29,40.96875,63,0.000793896441556077,0.359920069785233,"betaDiscr0.4"
86,30,40.75,67,0.00218670812644809,0.38302147191281,"betaDiscr0.4"
93,31,42.40625,71,0.00303496473555482,0.373834616031172,"betaDiscr0.4"
101,32,45.09375,76,0.00106679797286144,0.386772834303219,"betaDiscr0.4"
109,33,47.25,81,0.00269640452146554,0.370657977746694,"betaDiscr0.4"
118,34,47.28125,82,0.000887418850265635,0.368492598720282,"betaDiscr0.4"
127,35,50.46875,88,0.00356298146996346,0.395286543295835,"betaDiscr0.4"
136,36,53.65625,95,0.00366230107046205,0.420942000935215,"betaDiscr0.4"
146,37,55.09375,102,0.00512485783863962,0.430984322801901,"betaDiscr0.4"
157,38,54.25,110,0.00716263241886852,0.45600063455653,"betaDiscr0.4"
169,39,59.75,120,0.0158699389873353,0.461512463622442,"betaDiscr0.4"
182,40,59.53125,131,0.00666646156034854,0.49280141554465,"betaDiscr0.4"
196,41,61.9375,137,0.00903754130360215,0.460158779386226,"betaDiscr0.4"
210,42,65.53125,146,0.0484864124073877,0.516591126523195,"betaDiscr0.4"
225,43,67.125,159,0.0555412479406849,0.543219379280162,"betaDiscr0.4"
241,44,69.71875,170,0.0461497151279386,0.546616986436114,"betaDiscr0.4"
259,45,70.5,184,0.0696540210003613,0.571377476489278,"betaDiscr0.4"
278,46,70.375,190,0.0723818422058705,0.582553370434135,"betaDiscr0.4"
298,47,70.6875,205,0.0978139284137404,0.60060587449763,"betaDiscr0.4"
319,48,73.59375,217,0.0637376152835365,0.590842519440337,"betaDiscr0.4"
341,49,72.65625,229,0.104127088936822,0.627555596953391,"betaDiscr0.4"
364,50,74.28125,248,0.134782037412036,0.645305614038991,"betaDiscr0.4"
389,51,72.875,268,0.170221077821237,0.65882874023362,"betaDiscr0.4"
416,52,76.46875,280,0.219454201274648,0.66508007717365,"betaDiscr0.4"
445,53,76.53125,303,0.259799968247679,0.675651482896002,"betaDiscr0.4"
476,54,76.09375,315,0.223248516413278,0.678293899851491,"betaDiscr0.4"
508,55,76.9375,330,0.258202185484573,0.692954244074745,"betaDiscr0.4"
542,56,78.59375,348,0.297175011787773,0.718218282154466,"betaDiscr0.4"
577,57,77.1875,361,0.289462252916014,0.695490039189441,"betaDiscr0.4"
614,58,78.78125,366,0.248994852604911,0.692688648978679,"betaDiscr0.4"
651,59,78.8125,374,0.268752870193386,0.699394778562943,"betaDiscr0.4"
689,60,78.28125,398,0.261826413676984,0.730595205538468,"betaDiscr0.4"
729,61,80,417,0.305918901820797,0.73369882185581,"betaDiscr0.4"
771,62,78.21875,437,0.321939927584364,0.764544705738166,"betaDiscr0.4"
815,63,79.90625,459,0.406758134444434,0.766284397718962,"betaDiscr0.4"
861,64,79.3125,460,0.348334487652207,0.760370455290184,"betaDiscr0.4"
908,65,78.59375,470,0.402908820964895,0.775759820810944,"betaDiscr0.4"
956,66,78.15625,494,0.468730621569491,0.786865400962958,"betaDiscr0.4"
1006,67,78,521,0.470155481372112,0.78243105712133,"betaDiscr0.4"
1059,68,74.71875,532,0.48488501296506,0.794229309849862,"betaDiscr0.4"
1113,69,76.53125,553,0.480999393152689,0.808235856264557,"betaDiscr0.4"
1169,70,78.15625,572,0.500446487187778,0.811659203522736,"betaDiscr0.4"
1227,71,78.96875,581,0.520354769359548,0.815962486911358,"betaDiscr0.4"
1286,72,78.78125,599,0.525974990274944,0.816111900974655,"betaDiscr0.4"
1346,73,76.90625,616,0.553365722264695,0.816675055595561,"betaDiscr0.4"
1408,74,79.28125,618,0.55186760763077,0.81212818774186,"betaDiscr0.4"
1470,75,76.71875,638,0.548662473417775,0.823034849610909,"betaDiscr0.4"
1534,76,79.125,662,0.567116017428341,0.825394426823098,"betaDiscr0.4"
1601,77,77.96875,677,0.587531900123274,0.826206592697962,"betaDiscr0.4"
1669,78,77.21875,687,0.571006197858336,0.829241848673963,"betaDiscr0.4"
1738,79,77.59375,689,0.587137288013196,0.826112736956003,"betaDiscr0.4"
1807,80,78.15625,695,0.584351642694404,0.826602031219432,"betaDiscr0.4"
1877,81,79.3125,704,0.575665650842072,0.831754268942201,"betaDiscr0.4"
1948,82,76.5625,712,0.554482829999162,0.833580358580014,"betaDiscr0.4"
2020,83,75.875,727,0.588316025726189,0.835891292630596,"betaDiscr0.4"
2093,84,79.0625,724,0.572538963694538,0.831256357569012,"betaDiscr0.4"
2166,85,80.1875,727,0.577213169486507,0.830089452539472,"betaDiscr0.4"
2239,86,77.1875,741,0.580937240217854,0.831081102873579,"betaDiscr0.4"
2314,87,79.84375,754,0.583702340833724,0.842419600581705,"betaDiscr0.4"
2390,88,79.90625,746,0.580157463894657,0.840576825721628,"betaDiscr0.4"
2465,89,77.6875,732,0.553271484959086,0.826612236157342,"betaDiscr0.4"
2539,90,77.875,743,0.576758247570676,0.836465690881039,"betaDiscr0.4"
2614,91,79.15625,753,0.58932637324101,0.837613721636668,"betaDiscr0.4"
2690,92,80.53125,753,0.572140876199632,0.84207299968735,"betaDiscr0.4"
2766,93,80.09375,754,0.576272688895743,0.838869963412074,"betaDiscr0.4"
2842,94,80.0625,759,0.59705274672752,0.842269747033761,"betaDiscr0.4"
2918,95,79.09375,759,0.579251761151053,0.839623988223573,"betaDiscr0.4"
2994,96,78.71875,767,0.591622900362067,0.837357047991477,"betaDiscr0.4"
3071,97,80.0625,787,0.606326020193434,0.840834640155293,"betaDiscr0.4"
3150,98,78.1875,773,0.591916500047596,0.837675441195203,"betaDiscr0.4"
3228,99,81.375,780,0.587083151424187,0.844816832350857,"betaDiscr0.4"
3307,100,77.03125,776,0.609237150503877,0.844873753474781,"betaDiscr0.4"
3385,101,78.0625,774,0.568879137848867,0.836201231352431,"betaDiscr0.4"
3463,102,79.59375,766,0.593368635294634,0.839744152440151,"betaDiscr0.4"
3540,103,79.65625,769,0.598094849222944,0.837767092487046,"betaDiscr0.4"
3617,104,76.78125,782,0.609975856994531,0.845279929708096,"betaDiscr0.4"
3696,105,78.09375,785,0.593854002250581,0.849038417538375,"betaDiscr0.4"
3775,106,80.96875,802,0.59437473144835,0.852376145714325,"betaDiscr0.4"
3856,107,78.96875,810,0.57993882478727,0.845446117150858,"betaDiscr0.4"
3938,108,80.03125,808,0.587508910284407,0.843850073558605,"betaDiscr0.4"
4019,109,78.25,811,0.612411552571142,0.84797477959257,"betaDiscr0.4"
4101,110,76.28125,813,0.631760051248081,0.841277993825449,"betaDiscr0.4"
4183,111,77.4375,795,0.596179615512361,0.848610831808304,"betaDiscr0.4"
4263,112,79.4375,785,0.59066037035668,0.835204974185649,"betaDiscr0.4"
4342,113,78.09375,761,0.576619047396291,0.835692644940316,"betaDiscr0.4"
4419,114,78.6875,747,0.56856335895717,0.827205596325684,"betaDiscr0.4"
4494,115,81.15625,741,0.599437706892085,0.842407651824009,"betaDiscr0.4"
4569,116,81.28125,735,0.575401919743389,0.842518795676722,"betaDiscr0.4"
4643,117,79.75,723,0.573868142539891,0.823199469455376,"betaDiscr0.4"
4716,118,80.8125,733,0.578536329963486,0.828238330553844,"betaDiscr0.4"
4790,119,80.09375,721,0.611019027097289,0.827806476917365,"betaDiscr0.4"
4863,120,79.84375,736,0.597373012314102,0.82399069455825,"betaDiscr0.4"
4937,121,79.03125,743,0.601083864512483,0.838454284998482,"betaDiscr0.4"
5012,122,79.375,741,0.555738689418282,0.833205402388532,"betaDiscr0.4"
5087,123,77.15625,732,0.587841494903372,0.825650907360221,"betaDiscr0.4"
5161,124,80.84375,732,0.585983962790232,0.830286983914881,"betaDiscr0.4"
5235,125,78.8125,748,0.588463754948514,0.841888936910138,"betaDiscr0.4"
5310,126,78.9375,746,0.60551003878206,0.834072827350302,"betaDiscr0.4"
5385,127,80.625,766,0.624283090660659,0.852447552388319,"betaDiscr0.4"
5462,128,77.3125,774,0.622728334928068,0.844662705823491,"betaDiscr0.4"
5540,129,79.0625,782,0.628473201338025,0.843761544650832,"betaDiscr0.4"
5619,130,79.84375,797,0.607920921305289,0.839949457720726,"betaDiscr0.4"
5699,131,80,782,0.599075714638207,0.844548606765663,"betaDiscr0.4"
5778,132,80.25,765,0.600489313396902,0.835599603123863,"betaDiscr0.4"
5855,133,81.5625,766,0.624528074765014,0.841473361615102,"betaDiscr0.4"
5932,134,79,777,0.567671679932692,0.839247751935055,"betaDiscr0.4"
6010,135,82.375,778,0.591604156606918,0.840223136475603,"betaDiscr0.4"
6088,136,81.4375,777,0.603489373018312,0.842460213270547,"betaDiscr0.4"
6166,137,79.03125,774,0.585253014288641,0.843658443540764,"betaDiscr0.4"
6244,138,79.8125,785,0.612346174527734,0.846441800613717,"betaDiscr0.4"
6323,139,78.15625,791,0.61096848555036,0.841934266878468,"betaDiscr0.4"
6403,140,79.28125,796,0.592709375163719,0.845013944061009,"betaDiscr0.4"
6483,141,79.25,793,0.624015011444396,0.839661456125085,"betaDiscr0.4"
6563,142,80.90625,809,0.621766979382491,0.845484935059585,"betaDiscr0.4"
6644,143,82.84375,803,0.593712690331206,0.849198055914222,"betaDiscr0.4"
6725,144,78.96875,804,0.592195292086188,0.841536823060112,"betaDiscr0.4"
6806,145,77.875,785,0.599434338324596,0.831762266839177,"betaDiscr0.4"
6885,146,81.40625,787,0.602216133346304,0.834398350990527,"betaDiscr0.4"
6964,147,81.25,794,0.624224345005975,0.848071514894834,"betaDiscr0.4"
7044,148,81.21875,797,0.597279099979681,0.84660314564355,"betaDiscr0.4"
7124,149,77.84375,803,0.608395173521048,0.84890724739837,"betaDiscr0.4"
7205,150,80.5,807,0.600686189946776,0.843832771297631,"betaDiscr0.4"
7286,151,79.9375,803,0.60660365650283,0.84297972171992,"betaDiscr0.4"
7367,152,80.5,796,0.559392066251633,0.850597444404858,"betaDiscr0.4"
7447,153,79.09375,795,0.578316154053525,0.853370477534595,"betaDiscr0.4"
7527,154,77.65625,800,0.586531243633958,0.848160615598779,"betaDiscr0.4"
7608,155,80.53125,798,0.580099470846599,0.845391341081429,"betaDiscr0.4"
7688,156,80.21875,782,0.599112161666891,0.843417325217178,"betaDiscr0.4"
7767,157,80.0625,780,0.592186764597418,0.841749031265776,"betaDiscr0.4"
7846,158,79.75,792,0.630154518894602,0.848886095567517,"betaDiscr0.4"
7926,159,81.40625,786,0.600950701891716,0.841582653878008,"betaDiscr0.4"
8005,160,78.90625,789,0.615763708219502,0.843725475372553,"betaDiscr0.4"
8084,161,79.625,795,0.637219886936963,0.838182771906682,"betaDiscr0.4"
8164,162,80.46875,797,0.628121393890089,0.847789206983602,"betaDiscr0.4"
8244,163,81.84375,797,0.605883309795844,0.844311992009013,"betaDiscr0.4"
8324,164,78.71875,783,0.630456632403787,0.842977308011004,"betaDiscr0.4"
8403,165,82.34375,780,0.60876973201057,0.842570724384223,"betaDiscr0.4"
8482,166,80.125,766,0.583421363154849,0.840339220731474,"betaDiscr0.4"
8559,167,80.03125,776,0.567047999977255,0.839801752315735,"betaDiscr0.4"
8637,168,78.8125,778,0.598141196822945,0.846835338945663,"betaDiscr0.4"
8715,169,81.34375,784,0.603194713228224,0.847925376386861,"betaDiscr0.4"
8794,170,80.40625,793,0.585420294956745,0.850914497788201,"betaDiscr0.4"
8874,171,80.96875,794,0.60718681122259,0.84052971606908,"betaDiscr0.4"
8954,172,80.15625,802,0.6122193735596,0.853423882482048,"betaDiscr0.4"
9035,173,81.53125,804,0.603503364316415,0.849012494716922,"betaDiscr0.4"
9116,174,82,787,0.581998553312409,0.843634223266092,"betaDiscr0.4"
9195,175,80,794,0.582680329837169,0.850231152710205,"betaDiscr0.4"
9275,176,79.0625,802,0.623505403517135,0.849807255747563,"betaDiscr0.4"
9356,177,79.375,806,0.60855460226753,0.847414953512503,"betaDiscr0.4"
9437,178,78.71875,813,0.595754676019959,0.856899608061368,"betaDiscr0.4"
9519,179,78.4375,816,0.616256480438878,0.860361277573076,"betaDiscr0.4"
9601,180,78.375,816,0.613962495556798,0.851817741628061,"betaDiscr0.4"
9683,181,80.46875,826,0.611588296717574,0.848416094128845,"betaDiscr0.4"
9766,182,79.15625,825,0.612231453310392,0.85106949329618,"betaDiscr0.4"
9849,183,79.28125,810,0.625616361365193,0.848677403614558,"betaDiscr0.4"
9931,184,79.375,817,0.590760343248725,0.850568091159126,"betaDiscr0.4"
10013,185,78.8125,801,0.624438216818716,0.853917757269434,"betaDiscr0.4"
1,1,1,1,5.35911979364214e-13,0.055721965790259,"normDiscr0.4"
2,2,2,2,5.3058371270068e-13,0.0475350269941286,"normDiscr0.4"
3,3,3,3,9.76282050398795e-13,0.0538624967214544,"normDiscr0.4"
4,4,4,4,5.44679764651413e-13,0.0575847070342283,"normDiscr0.4"
